IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NUTSEVWASTINGNUM,"Severe wasted numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,FAO region,FAOLOWINCOMEFOODDEFICITCOUNTRIES,FAO Low Income Food Deficit Countries,Year,2022,true,,,,,,,,,,,,,2,,,1.6,,2.5,2.0 [1.6 - 2.5],,Based on June 2023 Classification,EN,2024-05-01T04:00:00.000Z
NUTSEVWASTINGPREV,"Severe wasted prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,FAO region,FAOLOWINCOMEFOODDEFICITCOUNTRIES,FAO Low Income Food Deficit Countries,Year,2022,true,,,,,,,,,,,,,1.3,,,1,,1.6,1.3 [1.0 - 1.6],,Based on June 2023 Classification,EN,2024-05-01T04:00:00.000Z
